movie,year,imdb,metascore,votes,n_imdb
Looney Tunes: Back in Action,2003,5.7,64,26077,57
The Barbarian Invasions,2003,7.7,70,25604,77
Kangaroo Jack,2003,4.4,16,24524,44
From Justin to Kelly,2003,2.1,14,23882,21
Beyond Borders,2003,6.5,32,23354,65
A Mighty Wind,2003,7.3,81,23024,73
Ned Kelly,2003,6.5,56,22480,65
View from the Top,2003,5.2,27,22015,52
My Life Without Me,2003,7.6,57,21834,76
Tokyo Godfathers,2003,7.9,73,21539,79
Kontroll,2003,7.7,72,20706,77
The United States of Leland,2003,7.1,37,20647,71
Calendar Girls,2003,6.9,60,20298,69
Capturing the Friedmans,2003,7.8,90,20265,78
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,2003,8.2,87,20048,82
Wonderland,2003,6.6,43,19222,66
In the Cut,2003,5.3,46,19207,53
Cold Creek Manor,2003,4.9,37,18767,49
The Corporation,2003,8.1,73,18663,81
Code 46,2003,6.2,57,18574,62
Pieces of April,2003,7.1,70,18417,71
Saints and Soldiers,2003,6.8,56,18302,68
The Best of Youth,2003,8.5,89,17274,85
Veronica Guerin,2003,6.9,55,16760,69
Malibu's Most Wanted,2003,5.1,43,16548,51
Willard,2003,6.2,61,15640,62
The Green Butchers,2003,7.3,54,15530,73
Head of State,2003,5.4,44,15528,54
The Order,2003,5.2,21,15405,52
Latter Days,2003,7.1,45,15040,71
Carandiru,2003,7.6,71,14841,76
One Missed Call,2003,6.2,54,14750,62
A Guy Thing,2003,5.6,27,14716,56
Eternal Sunshine of the Spotless Mind,2004,8.3,89,717494,83
Kill Bill: Vol. 2,2004,8,83,543444,80
Million Dollar Baby,2004,8.1,86,516435,81
The Incredibles,2004,8,90,509222,80
Spider-Man 2,2004,7.3,83,439399,73
The Notebook,2004,7.9,53,421751,79
Shaun of the Dead,2004,8,76,417967,80
Harry Potter and the Prisoner of Azkaban,2004,7.8,82,415582,78
"I, Robot",2004,7.1,59,413330,71
Troy,2004,7.2,56,405406,72
The Butterfly Effect,2004,7.7,30,379103,77
Crash,2004,7.8,69,374667,78
The Bourne Supremacy,2004,7.8,73,372942,78
The Day After Tomorrow,2004,6.4,47,350702,64
Shrek 2,2004,7.2,75,334914,72
The Terminal,2004,7.3,55,323839,73
Saw,2004,7.7,46,315515,77
Collateral,2004,7.6,71,306611,76
Ocean's Twelve,2004,6.5,58,300187,65
The Machinist,2004,7.7,61,298104,77
Anchorman: The Legend of Ron Burgundy,2004,7.2,63,281046,72
Hotel Rwanda,2004,8.1,79,280917,81
Man on Fire,2004,7.7,47,280118,77
The Aviator,2004,7.5,77,279083,75
50 First Dates,2004,6.8,48,278873,68
Downfall,2004,8.3,82,265243,83
National Treasure,2004,6.9,39,264654,69
Mean Girls,2004,7,66,264432,70
Hellboy,2004,6.8,72,255984,68
Howl's Moving Castle,2004,8.2,80,234478,82
Meet the Fockers,2004,6.3,41,220230,63
Van Helsing,2004,6,35,207165,60
The Village,2004,6.5,44,205602,65
Dawn of the Dead,2004,7.4,59,202956,74
Dodgeball: A True Underdog Story,2004,6.7,55,194703,67
Garden State,2004,7.5,67,192407,75
The Chronicles of Riddick,2004,6.7,38,191154,67
The Passion of the Christ,2004,7.2,47,186907,72
Finding Neverland,2004,7.7,67,180000,77
Before Sunset,2004,8,90,178913,80
The Girl Next Door,2004,6.8,47,177674,68
Closer,2004,7.3,65,175113,73
A Series of Unfortunate Events,2004,6.8,62,169762,68
EuroTrip,2004,6.6,45,168660,66
Napoleon Dynamite,2004,6.9,64,168309,69
Resident Evil: Apocalypse,2004,6.2,35,162141,62
Harold & Kumar Go to White Castle,2004,7.1,64,161045,71
Sideways,2004,7.5,94,156148,75
Secret Window,2004,6.6,46,154433,66
AVP: Alien vs. Predator,2004,5.6,29,153317,56
The Life Aquatic with Steve Zissou,2004,7.3,62,148173,73
Alexander,2004,5.5,39,144135,55
King Arthur,2004,6.3,46,142295,63
Team America: World Police,2004,7.2,64,141001,72
Blade: Trinity,2004,5.9,38,140460,59
Layer Cake,2004,7.4,73,140043,74
Shark Tale,2004,6,48,139565,60
The Polar Express,2004,6.6,61,131605,66
The Punisher,2004,6.5,33,129642,65
13 Going on 30,2004,6.1,57,129074,61
Starsky & Hutch,2004,6.1,55,124377,61
The Grudge,2004,5.9,49,120963,59
Fahrenheit 9/11,2004,7.5,67,116503,75
Ray,2004,7.7,73,116261,77
Along Came Polly,2004,5.9,44,110450,59
White Chicks,2004,5.5,41,104831,55
Kung Fu Hustle,2004,7.8,78,104715,78
The Phantom of the Opera,2004,7.3,40,100663,73
House of Flying Daggers,2004,7.6,89,95733,76
Catwoman,2004,3.3,27,91328,33
The Manchurian Candidate,2004,6.6,76,90106,66
Super Size Me,2004,7.3,73,89272,73
The Ladykillers,2004,6.2,56,87419,62
The Motorcycle Diaries,2004,7.8,75,86204,78
Bridget Jones: The Edge of Reason,2004,5.9,44,83853,59
Cellular,2004,6.5,60,81807,65
Primer,2004,6.9,68,79272,69
Sky Captain and the World of Tomorrow,2004,6.1,64,74646,61
Around the World in 80 Days,2004,5.8,49,72256,58
Hidalgo,2004,6.7,54,69992,67
Spanglish,2004,6.4,48,68307,64
Taking Lives,2004,6.2,38,67958,62
The Sea Inside,2004,8,74,67439,80
A Cinderella Story,2004,5.9,25,66945,59
A Very Long Engagement,2004,7.7,76,64636,77
Garfield,2004,5,27,63143,50
The SpongeBob SquarePants Movie,2004,7,66,62546,70
The Forgotten,2004,5.8,43,58994,58
Mysterious Skin,2004,7.7,73,58877,77
I Heart Huckabees,2004,6.7,55,58093,67
District B13,2004,7.2,70,58061,72
The Princess Diaries 2: Royal Engagement,2004,5.7,43,58026,57
Jersey Girl,2004,6.2,43,56482,62
Walking Tall,2004,6.2,44,55974,62
Wimbledon,2004,6.3,59,53425,63
The Stepford Wives,2004,5.2,42,51469,52
Mindhunters,2004,6.4,33,51195,64
Ella Enchanted,2004,6.3,53,50624,63
In Good Company,2004,6.5,66,49919,65
Ladder 49,2004,6.5,47,49909,65
Friday Night Lights,2004,7.3,70,49492,73
Night Watch,2004,6.5,58,48337,65
Bad Education,2004,7.5,81,47488,75
The Whole Ten Yards,2004,5.5,24,47454,55
Flight of the Phoenix,2004,6.1,47,46900,61
The Chorus,2004,7.9,56,46701,79
Wicker Park,2004,7,40,46643,70
Alfie,2004,6.2,49,45045,62
Kinsey,2004,7.1,79,43674,71
2046,2004,7.5,78,43331,75
Head-On,2004,8,78,42790,80
Dead Man's Shoes,2004,7.7,52,41957,77
Saved!,2004,6.9,62,41272,69
3-Iron,2004,8.1,72,40822,81
After the Sunset,2004,6.3,38,39593,63
Veer-Zaara,2004,7.9,67,38799,79
Without a Paddle,2004,5.9,29,38763,59
Miracle,2004,7.5,68,38519,75
Shall We Dance,2004,6.1,47,37247,61
Scooby-Doo 2: Monsters Unleashed,2004,5,34,35675,50
Taxi,2004,4.4,27,34524,44
The Prince and Me,2004,5.9,47,33379,59
Tae Guk Gi: The Brotherhood of War,2004,8.1,64,33192,81
The Libertine,2004,6.4,44,32096,64
Raising Helen,2004,6,38,31959,60
Chasing Liberty,2004,6.1,46,31427,61
Maria Full of Grace,2004,7.5,87,31273,75
The Merchant of Venice,2004,7.1,63,30791,71
Birth,2004,6.1,50,30707,61
Christmas with the Kranks,2004,5.2,22,30554,52
Seed of Chucky,2004,4.9,46,30128,49
Ghost in the Shell 2: Innocence,2004,7.6,66,29978,76
Exorcist: The Beginning,2004,5.1,30,29563,51
The Woodsman,2004,7.2,72,28511,72
Melinda and Melinda,2004,6.5,54,28114,65
The Edukators,2004,7.5,68,27877,75
The Final Cut,2004,6.2,43,27758,62
Mean Creek,2004,7.3,74,27377,73
Spartan,2004,6.6,60,27154,66
Envy,2004,4.8,31,27079,48
Superbabies: Baby Geniuses 2,2004,2,9,26352,20
Club Dread,2004,5.6,45,24620,56
Torque,2004,4,41,24408,40
Confessions of a Teenage Drama Queen,2004,4.6,33,24240,46
You Got Served,2004,3.5,37,23997,35
The Assassination of Richard Nixon,2004,7,63,23749,70
Win a Date with Tad Hamilton!,2004,5.6,52,23626,56
Raise Your Voice,2004,5.9,33,23573,59
Anacondas: The Hunt for the Blood Orchid,2004,4.6,40,23471,46
Dirty Dancing: Havana Nights,2004,6,39,23074,60
Godsend,2004,4.8,24,22949,48
A Love Song for Bobby Long,2004,7.2,48,22787,72
Millions,2004,7,74,22514,70
Vera Drake,2004,7.7,83,20980,77
The Perfect Score,2004,5.7,35,20491,57
Laws of Attraction,2004,5.9,38,19503,59
Dear Frankie,2004,7.8,63,19355,78
Soul Plane,2004,4.4,33,18931,44
9 Songs,2004,4.9,43,18683,49
Surviving Christmas,2004,5.3,19,18609,53
New York Minute,2004,4.9,33,18516,49
Nobody Knows,2004,8.1,88,18193,81
Bride & Prejudice,2004,6.2,55,17995,62
First Daughter,2004,5,31,17975,50
Vanity Fair,2004,6.2,53,17885,62
Twisted,2004,5.2,26,17724,52
Batman Begins,2005,8.3,70,1049606,83
V for Vendetta,2005,8.2,62,847899,82
Sin City,2005,8,74,684448,80
Star Wars: Episode III - Revenge of the Sith,2005,7.6,68,558662,76
Harry Potter and the Goblet of Fire,2005,7.7,81,417745,77
Mr. & Mrs. Smith,2005,6.5,55,370894,65
War of the Worlds,2005,6.5,73,351651,65
Charlie and the Chocolate Factory,2005,6.7,72,342768,67
King Kong,2005,7.2,81,334632,72
The 40-Year-Old Virgin,2005,7.1,73,328800,71
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,75,304456,69
Wedding Crashers,2005,7,64,290952,70
Madagascar,2005,6.9,57,286767,69
Fantastic Four,2005,5.7,40,276661,57
The Island,2005,6.9,50,272450,69
Brokeback Mountain,2005,7.7,87,272198,77
Lord of War,2005,7.6,62,258066,76
Hitch,2005,6.6,58,255757,66
Serenity,2005,7.9,74,251801,79
Constantine,2005,6.9,50,248617,69
Kingdom of Heaven,2005,7.2,63,228714,72
Pride & Prejudice,2005,7.8,82,205164,78
Corpse Bride,2005,7.4,83,201171,74
Saw II,2005,6.6,40,197162,66
Thank You for Smoking,2005,7.6,71,196843,76
Walk the Line,2005,7.9,72,196171,79
A History of Violence,2005,7.5,81,195637,75
Kiss Kiss Bang Bang,2005,7.6,72,184864,76
München,2005,7.6,74,183495,76
Match Point,2005,7.7,72,175825,77
Transporter 2,2005,6.3,56,164671,63
The Descent,2005,7.2,71,164167,72
The Hitchhiker's Guide to the Galaxy,2005,6.8,63,162702,68
Cinderella Man,2005,8,69,154776,80
Jarhead,2005,7,58,149888,70
Hostel,2005,5.9,55,145124,59
Hard Candy,2005,7.1,58,137088,71
The Longest Yard,2005,6.4,48,137016,64
Flightplan,2005,6.2,53,132245,62
Green Street Hooligans,2005,7.5,55,123775,75
Memoirs of a Geisha,2005,7.4,54,123271,74
The Constant Gardener,2005,7.5,82,116052,75
Fun with Dick and Jane,2005,6.1,47,115310,61
Four Brothers,2005,6.9,49,114973,69
Syriana,2005,7,76,113414,70
Æon Flux,2005,5.5,36,113175,55
Robots,2005,6.3,64,109142,63
Capote,2005,7.4,88,106187,74
The Curse of the Were-Rabbit,2005,7.5,87,103452,75
The Brothers Grimm,2005,5.9,51,102343,59
The Exorcism of Emily Rose,2005,6.7,46,101535,67
Casa de ceara,2005,5.3,41,98568,53
Coach Carter,2005,7.2,57,98342,72
Red Eye,2005,6.5,71,97478,65
The Jacket,2005,7.1,44,96708,71
Hostage,2005,6.6,44,96499,66
The Skeleton Key,2005,6.5,47,91970,65
Doom,2005,5.2,34,91305,52
The Amityville Horror,2005,6,33,88489,60
Unleashed,2005,7,58,88459,70
The Interpreter,2005,6.4,62,88326,64
Brick,2005,7.4,72,88131,74
Just Friends,2005,6.2,47,86622,62
"Good Night, and Good Luck.",2005,7.5,80,86146,75
Just Like Heaven,2005,6.7,47,86000,67
Broken Flowers,2005,7.2,79,85059,72
Land of the Dead,2005,6.2,71,81355,62
Sahara,2005,6,41,80368,60
The Devil's Rejects,2005,6.9,53,79629,69
Waiting...,2005,6.8,30,78625,68
Revolver,2005,6.5,25,77364,65
The Ring Two,2005,5.4,44,76761,54
The Legend of Zorro,2005,5.9,47,76071,59
Elektra,2005,4.8,34,74368,48
The New World,2005,6.7,69,73628,67
Hide and Seek,2005,5.9,35,72711,59
Zathura: A Space Adventure,2005,6.1,67,72318,61
The Pacifier,2005,5.6,30,71226,56
The Weather Man,2005,6.6,61,71112,66
Chicken Little,2005,5.8,48,68339,58
The Dukes of Hazzard,2005,5.1,33,68151,51
Assault on Precinct 13,2005,6.3,54,67518,63
Into the Blue,2005,5.8,45,65698,58
Sky High,2005,6.2,62,65058,62
Derailed,2005,6.6,40,64396,66
Stay,2005,6.9,41,64157,69
The Squid and the Whale,2005,7.4,82,62550,74
Be Cool,2005,5.7,37,60968,57
Bewitched,2005,4.8,34,60657,48
Elizabethtown,2005,6.4,45,60401,64
A Lot Like Love,2005,6.6,48,60308,66
Domino,2005,6,36,59431,60
Wolf Creek,2005,6.3,54,58361,63
Caché,2005,7.3,83,57382,73
Lady Vengeance,2005,7.6,75,57256,76
xXx: State of the Union,2005,4.4,37,56899,44
Harsh Times,2005,6.9,56,56440,69
Miss Congeniality 2: Armed and Fabulous,2005,5,34,54822,50
Nanny McPhee,2005,6.6,59,53811,66
In Her Shoes,2005,6.5,60,53523,65
Goal! The Dream Begins,2005,6.8,53,53078,68
Everything Is Illuminated,2005,7.5,58,52135,75
The Family Stone,2005,6.3,56,51436,63
Dark Water,2005,5.6,52,50890,56
March of the Penguins,2005,7.6,79,49206,76
Hoodwinked!,2005,6.5,45,48011,65
The Sisterhood of the Traveling Pants,2005,6.5,66,46989,65
Stealth,2005,5,35,46663,50
Monster-in-Law,2005,5.5,31,46049,55
Casanova,2005,6.5,57,45897,65
The World's Fastest Indian,2005,7.8,68,45884,78
Lords of Dogtown,2005,7.1,56,45619,71
Cheaper by the Dozen 2,2005,5.4,34,45223,54
The Proposition,2005,7.4,73,44486,74
Grizzly Man,2005,7.8,87,43844,78
Son of the Mask,2005,2.2,20,43296,22
Rent,2005,7,53,43147,70
Rumor Has It...,2005,5.5,35,43013,55
White Noise,2005,5.5,30,43012,55
Deuce Bigalow: European Gigolo,2005,4.6,23,42700,46
The Matador,2005,6.8,65,41251,68
The Wedding Date,2005,6.1,32,40625,61
Alone in the Dark,2005,2.3,9,38500,23
Herbie Fully Loaded,2005,4.8,47,38193,48
Two for the Money,2005,6.2,50,38184,62
Proof,2005,6.8,64,37806,68
Get Rich or Die Tryin',2005,5.1,45,37693,51
Adam's Apples,2005,7.8,51,37665,78
Fever Pitch,2005,6.2,56,37401,62
Transamerica,2005,7.4,66,37215,74
The Producers,2005,6.4,52,36205,64
Prime,2005,6.2,58,36119,62
Three Burials,2005,7.4,77,35125,74
Guess Who,2005,5.9,49,35026,59
Hustle & Flow,2005,7.4,68,34578,74
North Country,2005,7.3,68,34138,73
The Ringer,2005,5.8,46,32031,58
Me and You and Everyone We Know,2005,7.3,76,31988,73
The Protector,2005,7.1,52,31315,71
Kicking & Screaming,2005,5.6,45,31286,56
BloodRayne,2005,2.9,18,31246,29
The Fog,2005,3.6,27,30417,36
The Cave,2005,5.1,30,29756,51
Keeping Mum,2005,6.8,53,29393,68
C.R.A.Z.Y.,2005,8,81,28395,80
Tideland,2005,6.5,26,27948,65
Angel-A,2005,7.1,48,27123,71
Boogeyman,2005,4.1,32,27011,41
Cursed,2005,5,31,26999,50
Must Love Dogs,2005,5.9,46,26956,59
Oliver Twist,2005,6.9,65,26715,69
Feast,2005,6.4,43,26403,64
Tsotsi,2005,7.3,70,25662,73
An Unfinished Life,2005,7,49,25122,70
The Perfect Man,2005,5.5,27,24525,55
Imagine Me & You,2005,6.8,49,24436,68
Are We There Yet?,2005,4.6,27,23916,46
Cry_Wolf,2005,5.9,39,23650,59
The Greatest Game Ever Played,2005,7.5,55,23398,75
Sophie Scholl: The Final Days,2005,7.7,76,23220,77
Joyeux Noel,2005,7.8,70,22983,78
"Yours, Mine & Ours",2005,5.4,38,22832,54
An American Haunting,2005,5,38,22760,50
The Man,2005,5.5,33,22499,55
The Adventures of Sharkboy and Lavagirl 3-D,2005,3.5,38,21960,35
Shopgirl,2005,6.4,62,21672,64
The Ice Harvest,2005,6.3,62,21355,63
Ice Princess,2005,6,55,20861,60
Mirrormask,2005,6.9,55,20773,69
Man of the House,2005,5.4,35,20442,54
Paradise Now,2005,7.5,71,20172,75
The Departed,2006,8.5,85,938497,85
The Prestige,2006,8.5,66,914288,85
300,2006,7.7,52,637615,77
Pirates of the Caribbean: Dead Man's Chest,2006,7.3,53,553939,73
Pan's Labyrinth,2006,8.2,98,499434,82
Casino Royale,2006,8,80,495517,80
Diamant insangerat,2006,8,64,422386,80
X-Men: The Last Stand,2006,6.7,58,407033,67
Children of Men,2006,7.9,84,383331,79
Little Miss Sunshine,2006,7.8,80,374349,78
The Pursuit of Happyness,2006,8,64,361475,80
The Da Vinci Code,2006,6.6,46,338555,66
The Illusionist,2006,7.6,68,310234,76
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7.3,89,308428,73
The Devil Wears Prada,2006,6.8,62,302487,68
Inside Man,2006,7.6,76,285662,76
Cars,2006,7.1,73,283784,71
The Lives of Others,2006,8.5,89,278400,85
Lucky Number Slevin,2006,7.8,53,272124,78
Mission: Impossible III,2006,6.9,66,270656,69
Click,2006,6.4,45,258963,64
Deja Vu,2006,7,59,254065,70
Babel,2006,7.5,69,253576,75
Night at the Museum,2006,6.4,48,251680,64
Apocalypto,2006,7.8,68,248130,78
Superman Returns,2006,6.1,72,246933,61
Ice Age: The Meltdown,2006,6.9,58,206989,69
Crank,2006,7,57,205220,70
Perfume: The Story of a Murderer,2006,7.5,56,199558,75
The Fountain,2006,7.3,51,199364,73
The Holiday,2006,6.9,52,194374,69
The Fast and the Furious: Tokyo Drift,2006,6,45,193822,60
Stranger Than Fiction,2006,7.6,67,193461,76
Silent Hill,2006,6.6,31,184584,66
Rocky Balboa,2006,7.2,63,171489,72
Underworld: Evolution,2006,6.8,36,166948,68
The Last King of Scotland,2006,7.7,74,152429,77
Saw III,2006,6.2,48,149097,62
Happy Feet,2006,6.5,77,141299,65
Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,66,137621,66
Letters from Iwo Jima,2006,7.9,89,137108,79
The Hills Have Eyes,2006,6.4,52,136748,64
Over the Hedge,2006,6.8,67,133634,68
Smokin' Aces,2006,6.7,45,124352,67
She's the Man,2006,6.4,45,122983,64
The Lake House,2006,6.8,52,119098,68
Avionul cu serpi,2006,5.6,58,118960,56
Clerks II,2006,7.4,65,118181,74
16 Blocks,2006,6.6,63,115620,66
Idiocracy,2006,6.6,66,115476,66
Eragon,2006,5.1,38,111066,51
Accepted,2006,6.5,47,109376,65
Final Destination 3,2006,5.8,41,108346,58
The Break-Up,2006,5.8,45,106503,58
Flags of our Fathers,2006,7.1,79,104919,71
This Is England,2006,7.7,86,102771,77
Scary Movie 4,2006,5.1,40,97742,51
Miami Vice,2006,6,65,96086,60
Step Up,2006,6.5,48,96039,65
Little Children,2006,7.6,75,95241,76
The Fall,2006,7.9,64,93109,79
A Scanner Darkly,2006,7.1,73,93089,71
Mascul necrutator,2006,6.9,53,90507,69
Running Scared,2006,7.4,41,90382,74
Flushed Away,2006,6.6,74,90295,66
Tenacious D in The Pick of Destiny,2006,6.8,55,89529,68
The Queen,2006,7.3,91,89527,73
The Good Shepherd,2006,6.7,61,89331,67
Rescue Dawn,2006,7.3,77,87967,73
United 93,2006,7.6,90,86491,76
Poseidon,2006,5.6,50,85133,56
Marie Antoinette,2006,6.4,65,84033,64
Lady in the Water,2006,5.6,36,82777,56
The Painted Veil,2006,7.5,69,80627,75
Volver,2006,7.6,84,80587,76
The Guardian,2006,6.9,53,77860,69
Monster House,2006,6.6,68,77077,66
Cashback,2006,7.2,54,75287,72
A Good Year,2006,6.9,47,74782,69
Half Nelson,2006,7.2,85,74203,72
The Host,2006,7,85,73608,70
Ultraviolet,2006,4.4,18,72475,44
An Inconvenient Truth,2006,7.5,75,71216,75
"You, Me and Dupree",2006,5.6,46,70597,56
Scoop,2006,6.7,48,70468,67
John Tucker Must Die,2006,5.8,41,70209,58
Grandma's Boy,2006,7,33,69801,70
World Trade Center,2006,6,66,69660,60
Open Season,2006,6.2,49,69364,62
The Pink Panther,2006,5.6,38,68808,56
Nacho Libre,2006,5.7,52,68474,57
Notes on a Scandal,2006,7.4,73,66588,74
Dulcele sarut al Daliei,2006,5.6,49,65012,56
Fearless,2006,7.7,70,64745,77
"Paris, je t'aime",2006,7.3,66,64710,73
Slither,2006,6.5,69,64401,65
The Science of Sleep,2006,7.3,70,63126,73
Black Book,2006,7.8,71,62887,78
Failure to Launch,2006,5.6,47,61202,56
Dreamgirls,2006,6.5,76,59013,65
The Texas Chainsaw Massacre: The Beginning,2006,5.9,30,58822,59
Jackass Number Two,2006,7.1,66,58462,71
Beerfest,2006,6.3,46,56287,63
The Wicker Man,2006,3.7,36,55499,37
My Super Ex-Girlfriend,2006,5.1,50,55440,51
Black Snake Moan,2006,7,52,54775,70
Invincible,2006,7.1,63,54551,71
Penelope,2006,6.8,48,52831,68
Date Movie,2006,2.7,11,51811,27
Eight Below,2006,7.3,64,51443,73
Firewall,2006,5.8,45,51327,58
The Omen,2006,5.5,43,50324,55
Paprika,2006,7.7,81,49498,77
We Are Marshall,2006,7.1,53,49287,71
RV,2006,5.5,33,48131,55
Wristcutters: A Love Story,2006,7.4,62,47887,74
Tristan + Isolde,2006,6.9,49,46461,69
Just My Luck,2006,5.4,29,46301,54
Inland Empire,2006,7,72,44333,70
The Sentinel,2006,6.1,49,43371,61
The Benchwarmers,2006,5.6,25,42278,56
Littleman,2006,4.3,26,41429,43
The Covenant,2006,5.3,19,40883,53
The Grudge 2,2006,5,33,40574,50
Tell No One,2006,7.6,82,40555,76
DOA: Dead or Alive,2006,4.8,38,39641,48
Employee of the Month,2006,5.5,36,38892,55
Bobby,2006,7,54,38868,70
The Last Kiss,2006,6.5,57,38705,65
The Wind That Shakes the Barley,2006,7.5,82,38666,75
Curse of the Golden Flower,2006,7,70,37714,70
Candy,2006,7.3,57,37478,73
Flyboys,2006,6.6,47,36848,66
Glory Road,2006,7.2,58,36520,72
When a Stranger Calls,2006,5,27,36479,50
Black Sheep,2006,5.8,62,35739,58
Gridiron Gang,2006,6.9,52,34889,69
Big Momma's House 2,2006,4.6,34,33806,46
Southland Tales,2006,5.5,44,33416,55
Severance,2006,6.5,62,32816,65
Basic Instinct 2,2006,4.2,26,32379,42
Aquamarine,2006,5.3,51,32340,53
Turistas,2006,5.3,36,32103,53
The Ant Bully,2006,5.9,59,31341,59
Day Watch,2006,6.5,59,30575,65
Hollywoodland,2006,6.5,62,30036,65
Garfield 2,2006,5,37,29803,50
Charlotte's Web,2006,6.3,68,29685,63
Find Me Guilty,2006,7.1,65,29174,71
Bug,2006,6.1,62,28869,61
Man of the Year,2006,6.2,39,28778,62
The Marine,2006,4.7,45,28499,47
Shortbus,2006,6.5,64,28392,65
Arthur and the Invisibles,2006,6,39,27057,60
After the Wedding,2006,7.8,78,27041,78
All the Boys Love Mandy Lane,2006,5.6,44,27002,56
Priceless,2006,7,72,26952,70
School for Scoundrels,2006,5.9,44,26749,59
Unknown,2006,6.5,44,26667,65
Stay Alive,2006,5.1,24,26601,51
Goya's Ghosts,2006,6.9,52,26010,69
This Film Is Not Yet Rated,2006,7.5,75,25885,75
Fido,2006,6.7,70,25784,67
Seraphim Falls,2006,6.7,62,25659,67
Pulse,2006,4.7,27,25647,47
Tales from Earthsea,2006,6.5,47,25508,65
Them,2006,6.5,60,25216,65
Miss Potter,2006,7,57,24769,70
Hatchet,2006,5.7,57,24247,57
The Santa Clause 3: The Escape Clause,2006,4.7,32,23770,47
No Country for Old Men,2007,8.1,91,661154,81
I Am Legend,2007,7.2,65,566334,72
Transformers,2007,7.1,61,531471,71
The Bourne Ultimatum,2007,8.1,85,526272,81
Ratatouille,2007,8,96,504581,80
Pirates of the Caribbean: At World's End,2007,7.1,50,500711,71
Into the Wild,2007,8.1,73,459824,81
Superbad,2007,7.6,76,442436,76
Juno,2007,7.5,81,432734,75
Spider-Man 3,2007,6.2,59,406661,62
There Will Be Blood,2007,8.1,92,401159,81
Harry Potter and the Order of the Phoenix,2007,7.5,71,385778,75
Hot Fuzz,2007,7.9,81,373707,79
Live Free or Die Hard,2007,7.2,69,347785,72
American Gangster,2007,7.8,76,338117,78
Zodiac,2007,7.7,78,330159,77
Knocked Up,2007,7,85,309609,70
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.4,83,296585,74
Ocean's Thirteen,2007,6.9,62,269803,69
The Simpsons Movie,2007,7.4,80,269074,74
Shooter,2007,7.2,53,267991,72
3:10 to Yuma,2007,7.7,76,248739,77
The Mist,2007,7.2,58,233542,72
Shrek the Third,2007,6.1,58,224898,61
28 Weeks Later,2007,7,78,222020,70
1408,2007,6.8,64,221506,68
Stardust,2007,7.7,66,220798,77
Fantastic 4: Rise of the Silver Surfer,2007,5.6,45,220416,56
Gone Baby Gone,2007,7.7,72,206896,77
Atonement,2007,7.8,85,203050,78
Sunshine,2007,7.3,64,200057,73
Eastern Promises,2007,7.7,82,198154,77
The Bucket List,2007,7.4,42,194408,74
Disturbia,2007,6.9,62,193590,69
Paranormal Activity,2007,6.3,68,192595,63
Ghost Rider,2007,5.2,35,190822,52
National Treasure: Book of Secrets,2007,6.5,48,190038,65
P.S. I Love You,2007,7.1,39,177393,71
Grindhouse,2007,7.6,77,160440,76
Resident Evil: Extinction,2007,6.3,41,159928,63
The Golden Compass,2007,6.1,51,155176,61
Enchanted,2007,7.1,75,150461,71
Fracture,2007,7.2,68,149083,72
The Darjeeling Limited,2007,7.2,67,146802,72
Beowulf,2007,6.2,59,146641,62
Hitman: Rau necesar,2007,6.3,35,145299,63
30 Days of Night,2007,6.6,53,144295,66
The Assassination of Jesse James by the Coward Robert Ford,2007,7.5,68,143699,75
Michael Clayton,2007,7.3,82,138782,73
Blades of Glory,2007,6.3,64,135538,63
Shoot 'Em Up,2007,6.7,49,133405,67
Next,2007,6.2,42,129957,62
Mr. Brooks,2007,7.3,45,128232,73
Rush Hour 3,2007,6.2,44,127522,62
The Orphanage,2007,7.5,74,125770,75
I Now Pronounce You Chuck & Larry,2007,6,37,124300,60
Lars and the Real Girl,2007,7.4,70,120531,74
Evan Almighty,2007,5.4,37,119668,54
Bridge to Terabithia,2007,7.2,74,117418,72
Saw IV,2007,5.9,36,116666,59
Bee Movie,2007,6.1,54,112859,61
The Kingdom,2007,7.1,56,105186,71
Wild Hogs,2007,5.9,27,103077,59
Hairspray,2007,6.7,81,103031,67
Aliens vs. Predator: Requiem,2007,4.7,29,97869,47
Once,2007,7.9,88,96849,79
Across the Universe,2007,7.4,56,95233,74
Mr. Bean's Holiday,2007,6.3,56,94320,63
Death at a Funeral,2007,7.4,67,93649,74
The Diving Bell and the Butterfly,2007,8,92,92909,80
Charlie Wilson's War,2007,7.1,69,92746,71
Epic Movie,2007,2.3,17,92372,23
Halloween,2007,6.1,47,92000,61
August Rush,2007,7.5,38,91304,75
Hannibal Rising,2007,6.2,35,90182,62
Dan in Real Life,2007,6.8,65,88919,68
Reign Over Me,2007,7.5,61,86027,75
Elite Squad,2007,8.1,33,85535,81
Music and Lyrics,2007,6.5,59,85037,65
Before the Devil Knows You're Dead,2007,7.3,84,84624,73
Vacancy,2007,6.2,54,82569,62
Good Luck Chuck,2007,5.6,19,76761,56
War,2007,6.3,36,75460,63
We Own the Night,2007,6.9,59,74798,69
The Heartbreak Kid,2007,5.8,46,74719,58
Persepolis,2007,8.1,90,74374,81
